study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
barber	SRR10714201	746-B-1-45-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714202	743-B-1-45-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714203	717-E-1-74s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714204	716-E-1-70L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714205	711-B-1-43-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714206	111-C-1-76s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714207	704-E-1-70L-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714208	701-E-1-75s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714209	68-C-1-93L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714210	616-D-2-23L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714211	480-E-1-21-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714212	477-E-1-25-10	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714213	473-E-1-7-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714214	470-E-1-14-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714215	47-C-1-72L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714216	453-E-1-56s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714217	106-C-1-72s-2	Resistant	Environmental	Germany																																																																																																										
barber	SRR10714218	452-C-1-51s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714219	451-D-2-24s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714220	442-D-2-17L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714221	43-C-1-69L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714222	429-D-2-25L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714223	424-D-2-22s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714224	423-D-2-25L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714225	118-B-1-63s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714226	115-B-1-70s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714227	114-B-1-69L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714228	975-B-1-27-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714229	969-B-1-26-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714230	94-D-2-28L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714231	939-E-1-75s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714232	113-B-1-71L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714233	875-E-1-65L-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714234	84-D-2-49L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714235	83-D-2-47L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714236	774-B-1-44-s	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714237	766-E-1-65L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714238	4-C-1-24L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714239	386-C-1-33L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR10714240	383-C-1-27s-1	Susceptible	Environmental	Germany																																																																																																										
