file	region	depth
bams/barber.SRR10714201.sorted.bam	NC_007196.1:1523105-1524006	40.7838
bams/barber.SRR10714201.sorted.bam	NC_007196.1:1539720-1544676	33.8525
bams/barber.SRR10714201.sorted.bam	NC_007195.1:4650883-4653737	0
bams/barber.SRR10714201.sorted.bam	NC_007195.1:4660561-4662944	34.0021
bams/barber.SRR10714201.sorted.bam	NC_007198.1:258208-259208	0
bams/barber.SRR10714201.sorted.bam	NC_007198.1:242866-244662	37.2237
bams/barber.SRR10714201.sorted.bam	NC_007199.1:3531190-3532036	37.8713
bams/barber.SRR10714201.sorted.bam	NC_007199.1:3491106-3496228	37.2055
bams/barber.SRR10714202.sorted.bam	NC_007196.1:1523105-1524006	133.109
bams/barber.SRR10714202.sorted.bam	NC_007196.1:1539720-1544676	137.692
bams/barber.SRR10714202.sorted.bam	NC_007195.1:4650883-4653737	0
bams/barber.SRR10714202.sorted.bam	NC_007195.1:4660561-4662944	140.258
bams/barber.SRR10714202.sorted.bam	NC_007198.1:258208-259208	115.826
bams/barber.SRR10714202.sorted.bam	NC_007198.1:242866-244662	128.144
bams/barber.SRR10714202.sorted.bam	NC_007199.1:3531190-3532036	0
bams/barber.SRR10714202.sorted.bam	NC_007199.1:3491106-3496228	150.397
bams/barber.SRR10714203.sorted.bam	NC_007196.1:1523105-1524006	115.267
bams/barber.SRR10714203.sorted.bam	NC_007196.1:1539720-1544676	112.075
bams/barber.SRR10714203.sorted.bam	NC_007195.1:4650883-4653737	118.368
bams/barber.SRR10714203.sorted.bam	NC_007195.1:4660561-4662944	105.084
bams/barber.SRR10714203.sorted.bam	NC_007198.1:258208-259208	2.52148
bams/barber.SRR10714203.sorted.bam	NC_007198.1:242866-244662	96.739
bams/barber.SRR10714203.sorted.bam	NC_007199.1:3531190-3532036	3.32113
bams/barber.SRR10714203.sorted.bam	NC_007199.1:3491106-3496228	112.331
bams/barber.SRR10714204.sorted.bam	NC_007196.1:1523105-1524006	75.9723
bams/barber.SRR10714204.sorted.bam	NC_007196.1:1539720-1544676	77.5762
bams/barber.SRR10714204.sorted.bam	NC_007195.1:4650883-4653737	71.7436
bams/barber.SRR10714204.sorted.bam	NC_007195.1:4660561-4662944	79.4887
bams/barber.SRR10714204.sorted.bam	NC_007198.1:258208-259208	60.5035
bams/barber.SRR10714204.sorted.bam	NC_007198.1:242866-244662	66.5392
bams/barber.SRR10714204.sorted.bam	NC_007199.1:3531190-3532036	0.114522
bams/barber.SRR10714204.sorted.bam	NC_007199.1:3491106-3496228	75.0119
bams/barber.SRR10714205.sorted.bam	NC_007196.1:1523105-1524006	38.51
bams/barber.SRR10714205.sorted.bam	NC_007196.1:1539720-1544676	47.3434
bams/barber.SRR10714205.sorted.bam	NC_007195.1:4650883-4653737	39.7264
bams/barber.SRR10714205.sorted.bam	NC_007195.1:4660561-4662944	52.7961
bams/barber.SRR10714205.sorted.bam	NC_007198.1:258208-259208	33.9431
bams/barber.SRR10714205.sorted.bam	NC_007198.1:242866-244662	47.1797
bams/barber.SRR10714205.sorted.bam	NC_007199.1:3531190-3532036	10.6954
bams/barber.SRR10714205.sorted.bam	NC_007199.1:3491106-3496228	48.7195
bams/barber.SRR10714206.sorted.bam	NC_007196.1:1523105-1524006	0
bams/barber.SRR10714206.sorted.bam	NC_007196.1:1539720-1544676	52.228
bams/barber.SRR10714206.sorted.bam	NC_007195.1:4650883-4653737	52.442
bams/barber.SRR10714206.sorted.bam	NC_007195.1:4660561-4662944	53.63
bams/barber.SRR10714206.sorted.bam	NC_007198.1:258208-259208	44.9141
bams/barber.SRR10714206.sorted.bam	NC_007198.1:242866-244662	50.5415
bams/barber.SRR10714206.sorted.bam	NC_007199.1:3531190-3532036	48.2928
bams/barber.SRR10714206.sorted.bam	NC_007199.1:3491106-3496228	51.4931
bams/barber.SRR10714207.sorted.bam	NC_007196.1:1523105-1524006	63.6086
